,proverb,translation,
6057,வெள்ளெருக்குக்கும் வெள்ளாட்டுப் பாலுக்கும் கள்ளக் கருமேகம் காணாமற் போம்.,"The disease which blackens the skin, will be thoroughly cured by the white species of erukku and goats milk.",
6058,வெள்ளை கொடுக்க வினை தீரும்.,One’s sins will be expiated by giving cloth to the destitute.,
6059,வெள்ளைக்குக் கள்ளம் இல்லை.,White is faultless.,
6060,வெள்ளைக்கு இல்லை கள்ளச் சிந்தை.,The out-spoken are free from deceit.,
6061,வெறுங்கைத் தட்டான் இரும்பு ஊதிச் செத்தான்.,A money-less goldsmith died by blowing iron.,
6062,வெறிகாரன் குடியை விடான் வீண் புத்திக்காரன் பாவத்துக்கு அஞ்சான்.,"A drunkard will not forsake drinking, a fool is not afraid of evil deeds.",
6063,வெறிகொண்ட யானை மிதந்து திரிகிறாப்போலே.,As an elephant in rut wanders about unrestrained.,
6064,வெறிக்கிட்டு அழியேல்.,Squander not by drinking.,
6065,வெறு நாய் சந்தைக்குப் போனால் வெள்ளிக்கோலால் அடிபட்டு வரும்.,"A dog which goes alone to the market, will be beaten with the steelyard.",
6066,வெறும் கை முழம் போடுமா?,"Can the arm measure a cubit, when there is nothing to be measured?",
6067,வெறும் சட்டி தாளிக்கிறான்.,He flavours an empty chatty.,
6068,வெறும் புளி தின்றால் பற் கூசும்.,"Tamarinds if eaten alone, will set the teeth on edge.",
6069,வெறும் பானையில் ஈ புகுந்ததுபோல.,As flies entered an empty pot.,
6070,வெறும் பயலுக்கு ஏற்ற வீறாப்பு.,Arrogance suited to one’s worthlessness.,
6071,வெறும்பிலுக்கு வண்ணான் மாற்று.,Finery borrowed from a washerman.,
6072,வெறுவாய்க்கு இலைகெட்டவன் விறகுக்குப் போனால் விறகு கிடைத்தாற் கொடி கிடையாது கொடி கிடைத்தால் விறகு கிடையாது.,"If a worthless fool go out to gather firewood, he cannot procure a creeper, when he gets a creeper, he can find no firewood.",
6073,வெறுவாய் மெல்லுகிற அம்மையாருக்கு நாழி அவல் அகப்படடதுபோல.,"As a measure of bruised dried rice given to an old dame, who had nothing to chew but an empty mouth.",
